item_id,item,cost,type
daeecf9d-2cc2-493b-8499-d540ac062d01,Tavu,357.26,Soup - Tomato Mush. Florentine
f9b1efa6-db4c-479b-aed8-6213faf087ea,Mydeo,5075.56,"Beans - Black Bean, Dry"
19fcb323-c81d-476b-a53f-8054a8a4f4fb,Gigabox,9473.51,Cloves - Ground
ddcccd6b-56a3-44c2-abf7-8b0d30ae2bb1,Yacero,1159.02,Beer - Original Organic Lager
7c043b79-62e6-4c2b-952d-b2e5b9a6bd25,Brainbox,6889.4,Potatoes - Mini Red
30fc7566-131f-4008-8890-f4ff51f9983c,Innotype,7509.87,"Beef - Ox Tongue, Pickled"
f0e386f0-b750-45fc-b3ae-e9a9933a3408,Snaptags,730.23,Sauce - Sesame Thai Dressing
623f3e2f-2cc7-438d-9f4e-6c5dba5f438e,Twiyo,7356.35,Dawn Professionl Pot And Pan
a81c2154-1aa3-4008-b84a-842d1dd8d6a6,Pixope,3052.55,"Wine - Red, Harrow Estates, Cab"
be77169a-e995-45fe-b7ad-f4e6828f6955,Skimia,8555.87,Avocado
6ea6f417-8b4b-4c50-ad83-67d298d7cf06,Browsecat,4466.7,Napkin Colour
4c79334e-b847-4e27-9701-964ddf335f93,Meejo,6394.92,Okra
65a9e1bb-6116-4f7c-b186-522bae32101b,Thoughtmix,2702.11,Neckerchief Blck
2b784f9d-de65-4840-8d86-5f7501eee9a3,Npath,4528.88,"Lamb - Shoulder, Boneless"
b4e5ae4f-d031-474f-a6ea-edd0314b754e,Skiptube,8402.97,Lettuce - Treviso
ca8ec893-36c2-454f-83ba-1fea81fb71dd,Reallinks,3052.88,Cheese - Mozzarella
7ea52515-f885-4e9c-838d-41cd6e17787c,Zooveo,8346.98,Wine - Savigny - Les - Beaune
fa4ac641-b477-488e-9be4-bb1be85cd409,Divavu,9401.51,Sugar - Individual Portions
614af6f6-3740-4374-b0b0-c6c9c0febbe6,Youspan,4463.92,Glass Clear 7 Oz Xl
ea77970c-4ce6-4172-abe2-22c6eec21b8e,Nlounge,2158.94,Lemon Tarts
41238331-7b29-46c1-9826-954f813f8236,Realmix,7340.99,Wine - Winzer Krems Gruner
79d35b01-35c5-420c-ba0d-784279e7b176,Kwimbee,5709.98,"Wine - Red, Wolf Blass, Yellow"
b5845090-22aa-4c3a-b49a-2faaba6a59c2,Flipopia,2272.51,Cake - Dulce De Leche
59e26f5d-c50c-4c5c-b78c-de9afa19981e,Devify,3764.03,Island Oasis - Pina Colada
8d2183da-f363-4c9c-8c40-a9e72921371f,Buzzbean,6361.3,Cheese - Asiago
b5e680d6-dc8d-4f8d-b1e8-ee4f8459e867,Topicware,1568.38,Sea Urchin
5fc4bb50-f7b1-4521-a6d6-7ed0c1fd5876,Jetwire,7134.21,"Mushrooms - Black, Dried"
c109cd5d-9650-40a8-9ecf-6f1a50fd7497,Zooxo,8115.82,Sauce - Oyster
975ec2b2-a6a4-4bd8-b2a4-1c2246190bf3,Zooveo,818.5,Beef - Kobe Striploin
04dda05c-960b-4672-a143-d54b7fc243f8,Snaptags,6320.46,Grapefruit - White
e84339c1-0007-44e9-a146-0617c4a065d2,Photospace,9400.59,"Turnip - White, Organic"
d6c4f718-13d9-4d0b-98bf-0aa3634cd09e,Fanoodle,5076.31,Truffle Cups - Red
d45ddf45-f208-4d9b-bac8-8cb9e892f197,Topicshots,618.74,Tarragon - Fresh
531e2fee-930a-493c-8c43-587621401775,Rhyloo,4993.72,Beer - Camerons Auburn
1e051741-2ea7-425e-bc7a-8a1737924356,Twitterwire,1574.97,"Juice - Tomato, 48 Oz"
75c4c608-2df8-45de-b2e0-b4c4988222df,Browsebug,8380.11,"Cod - Salted, Boneless"
f3ffed47-93cb-4246-ae61-509af16ee184,Realmix,8209.86,Sambuca - Ramazzotti
18237cc3-c49e-43cc-a0e3-08e8ada764f0,Realpoint,4378.05,Lychee
bb61620e-9037-4572-ae49-1f4d9c488fd9,Dynava,7360.6,"Lettuce - Mini Greens, Whole"
3ee50ce1-8944-4f80-b584-7a8f499bbbd1,Quamba,2326.88,Artichokes - Jerusalem
21c7f9b1-7872-4615-9686-9f345c0e25ef,Flipbug,4966.28,Cake - Sheet Strawberry
05099636-74a4-41bb-8113-d479cd1ad4df,Kare,631.11,"Coffee - Beans, Whole"
0e7b6697-ca1b-4852-b425-319416401b18,Devcast,7504.62,Truffle Paste
33374583-d638-490c-98e2-2be8297425af,Wordware,7627.07,Pepsi - 600ml
d5cfa74a-8889-4487-9715-db659cefba4c,Viva,2461.44,Beer - Labatt Blue
66c24512-1179-4fe4-a341-2b23cf9d3852,Rhyloo,3184.7,Guinea Fowl
7044af9d-b5b5-49cc-a293-f2a32da94e84,Skimia,9052.21,Beets
c7937441-9262-4937-a6a5-318e5676c7e8,Mynte,1114.14,"Wine - Saint - Bris 2002, Sauv"
ce696afa-548c-41fd-bf68-763a289b3afc,Pixope,8967.11,Ice Cream - Strawberry
699cf0e0-9f7e-4759-9c87-9925383e7079,Jabberbean,3589,Cookie Dough - Peanut Butter
283eda8f-fe21-4c8a-b478-8eedc9bc6a6c,Dynazzy,746.09,"Pepper - White, Ground"
b95407b8-379f-44bd-bf64-00644d0d89d6,LiveZ,5585.63,Buttons
f283b74e-aa6b-4e18-89d0-fb4aadb6d0dd,Zooveo,2269.72,Yucca
94683045-87c7-4d31-94b2-348921a2a34f,Twiyo,3157.3,"Pasta - Gnocchi, Potato"
17a6b8a6-9526-4256-abe6-d7fd76f96d3a,Wikizz,2483.32,Cilantro / Coriander - Fresh
5c072ead-2db7-4aed-8bc7-81c1d606b377,Livetube,7001.02,Beer - Sleeman Fine Porter
76d1c594-cfd9-4db1-bddd-db305b5bbe08,Tagtune,5844.52,Icecream - Dibs
2436b1e9-2638-4ea9-88ea-9c9ba9b538a9,Twitterwire,482.13,"Salt - Rock, Course"
61f72ca5-b887-4471-a448-e165f1057d4c,Yodo,3261.82,"Pork - Tenderloin, Frozen"
7cb4ca54-10bc-45eb-80f0-6f02b40bd909,Photojam,7217.88,Absolut Citron
c4f19f04-1cda-4899-9047-dbce65a1a98c,Kwinu,693.46,Shrimp - Black Tiger 16/20
aa11ee8b-dcfc-4fb9-8ea8-231c024eb5e3,Bluejam,1956.57,"Lemonade - Black Cherry, 591 Ml"
a7441729-0907-4264-bc61-35aab7fbd414,Skinder,6651.67,Ostrich - Fan Fillet
6c8f32f6-a7e3-4bf1-b5d2-0b4f969333a4,Brainverse,6774.37,Tea - Herbal - 6 Asst
d34a51f1-49c5-49af-b084-313605f4b41d,Oba,3948.12,Wine - Tribal Sauvignon
a17b4a3b-881a-429b-b3a4-1c8ded8cb6e4,Meevee,6603.22,Bread Crumbs - Japanese Style
d5a65e89-fd74-464f-a220-afff719f59e1,Jabberbean,7503.53,Vodka - Moskovskaya
9a02b680-84d6-4f6b-8a43-d0280c92c7e1,Thoughtbeat,560.81,Pear - Halves
9e170a00-36b3-4ad2-bac0-71e71f5d6444,Quamba,347.01,Capon - Whole
35ed460f-df8e-467e-8828-89708478dfe7,Digitube,8570.95,Carbonated Water - Strawberry
b4849d71-40dd-4533-acc9-353749f26fb0,Feedfish,8311.9,Bread - Italian Sesame Poly
c4d8e67a-26f4-4623-a01f-7dfb14449705,Mudo,7717.87,"Artichokes - Knobless, White"
8c980d47-6d16-4da4-b272-83ce19e20985,Meedoo,2512.66,Foam Espresso Cup Plain White
7b89979d-e089-4ff9-bffb-8d97bf7f1b07,Katz,2254.76,"Pasta - Linguini, Dry"
5e7a8492-8ec5-46fa-93f7-064689a9d006,Trilith,8620.54,Aspic - Light
f5393cdc-241d-409a-8755-19bbc638cfa4,Katz,8306.03,Jameson Irish Whiskey
cd51e6a5-3767-4fc4-968b-8e1d3088cd20,Abata,8788.74,Shrimp - Prawn
05f1db65-7c8b-4f62-a1f1-543695f9a988,Fadeo,2871.02,Longos - Chicken Cordon Bleu
bc1d1fc4-aab9-4c5f-9b4e-1f4f9764df92,Linkbridge,4702.94,Cookie Dough - Peanut Butter
994ada0f-f5b0-47c0-892d-94f27b258475,Zava,9297.24,Crackers - Soda / Saltins
ce9fe773-f8bc-42a7-b3aa-e7e3701ce783,Zoombeat,3157.59,"Yogurt - Strawberry, 175 Gr"
e39fa651-9c71-4005-ac71-494e5b38ef49,Avavee,1140.87,"Carrots - Purple, Organic"
9cbad049-8224-496e-b4b6-d9d965611228,Voolia,3857.23,Beer - Paulaner Hefeweisse
c1d09437-2eb3-45e1-9e5b-baa73f8f3e7f,Dabfeed,4114.06,"Juice - V8, Tomato"
659efa9c-c280-4ac6-932b-626a9d227c25,Agivu,9688.14,Water - Green Tea Refresher
d643aa2c-ec79-41b5-8745-19369dd9b905,Blogtag,4530.4,"Cake Circle, Paprus"
2e1662ed-a064-4373-b26c-2d7918650595,Yakitri,3349.81,Goldschalger
c796b5e6-8737-4ab2-9593-80952d10724f,Skyba,1715.99,Cornstarch
1b7519b3-3e2d-4df0-bea0-b4464128260f,Avamm,5228.17,Pepper - Gypsy Pepper
f85d21d5-f511-4c6d-949b-c099aa79cd29,Wikizz,787.4,"Wine - White, Ej Gallo"
25d2a078-5d6e-441c-aa49-51f3d54f1542,Aimbu,7323.4,Veal - Inside
b3b36818-da40-4539-a939-3be6720ac786,Oozz,7725.89,Bacardi Breezer - Strawberry
908c0cb4-cf75-4054-947c-04a1b3aa0a69,Yoveo,3970.87,Wine - Zinfandel California 2002
500bcb32-a09e-4c78-ac73-1a14b62b1b35,Divape,2632.91,Lamb - Ground
a316f9f5-db7e-4335-88a0-94c795d78858,Skiptube,5537.05,"Water, Tap"
e39b4cd6-fdf6-47a7-80f9-30edb3bf9167,Topdrive,578.1,Goulash Seasoning
762b3513-6277-4e4e-acae-71f25fa7661d,Teklist,9655.25,"Quail - Whole, Bone - In"
f8559e1b-4f97-49a9-887a-ad01ad028c90,Katz,6581.87,Veal - Provimi Inside
57fdecd5-3678-4121-b0c5-218823cc59d4,Topiczoom,9378.87,Brandy Apricot
d62fc464-9f74-4366-9ee8-848a5bcb52dc,Devcast,3048.44,Black Currants
a94d9d3e-7ade-4283-98e5-dd9158be7e3f,Oyondu,5601.15,Island Oasis - Banana Daiquiri
7b7965da-a684-45eb-b733-8fa3f021a502,Meeveo,4460.5,"Chicken - Diced, Cooked"
5c0b2d97-8ded-4604-961e-cc28ae4be56c,Zooveo,6580.37,Cup - 8oz Coffee Perforated
341af02b-0d15-4d0f-818d-a29a84d96109,Kwinu,3705.33,Chinese Foods - Thick Noodles
bea88aad-c1eb-471a-b01d-0a4bef8ed689,Eayo,9765.53,Rosemary - Dry
40cc42fa-d787-45d5-8f5c-8ec070d03c67,Linklinks,1125.08,Sprouts - Corn
01720e38-fc45-4d91-a3eb-0a8bb41f8b2c,Dynava,2004.65,Soup Campbells Split Pea And Ham
ab73621d-ec26-4e0d-91dd-42a2bead5189,Reallinks,1447.81,Beef - Striploin Aa
